,LFshockVel,RFshockVel,LRshockVel,RRshockVel,LFshockDefl,RFshockDefl,LRshockDefl,RRshockDefl,LFrideHeight,RFrideHeight,LRrideHeight,RRrideHeight,LFtempL,LFtempM,LFtempR,RFtempL,RFtempM,RFtempR,LRtempL,LRtempM,LRtempR,RRtempL,RRtempM,RRtempR,LapLastLapTime,VelocityX,VelocityY,VelocityZ
LFtempR,-0.09952372495100575,-0.08835868072934255,0.05221095785689747,0.021014848107486314,0.21268550812126105,0.2675717539624731,-0.0733206283394203,0.23657738001656772,-0.31558926835036794,-0.33819354540743,0.22966581730531005,-0.4149538100553708,0.853139770402177,0.8489837115200847,1.0,0.809061803177268,0.8117724458781004,0.8022073582747152,0.4257119522432724,0.4241900091074199,0.3907141379840679,0.43916982610268873,0.43724927862177615,0.4036616916114539,0.2053918207823054,-0.7987826129163573,-0.19350677171857597,0.43836743955137647
RFtempL,-0.07254774495365264,-0.07909889352067698,0.03141982892621869,-0.00834944286737822,0.014043624870870682,0.10345492402771306,0.23562574469804448,0.5119082261012995,-0.13064983941398434,-0.17906394750422602,0.01763167237177181,-0.5542763171299255,0.9500871588326393,0.9479565703756414,0.809061803177268,1.0,0.9990061976364716,0.9922942909443158,0.6166420052379229,0.6199032874665459,0.617492529277539,0.6827024027070407,0.6819273053943322,0.6125163318479329,0.11442468872009337,-0.8433750908034091,-0.22586084864320494,0.17086632040711056
RFtempM,-0.07135661508010564,-0.0789176260864447,0.030691528702184688,-0.007247708341439207,0.010485411479018462,0.09393658596805836,0.231824162583054,0.497980971112746,-0.1303261379347431,-0.17168941278241792,0.007672011246434318,-0.5368968827030375,0.9480260471515487,0.945670167644107,0.8117724458781004,0.9990061976364716,1.0,0.9954839310511033,0.6216906516277633,0.6246626152743274,0.6219134624305745,0.6836625931311587,0.6827769140655248,0.6220450708414801,0.11746163986204279,-0.845446483045382,-0.20782360388567775,0.17291778736954036
RFtempR,-0.0666802657898085,-0.07510184483903071,0.028846830277548353,-0.008008615940705273,-0.036513851547117324,0.039859636920746615,0.2339615805839277,0.4711022426951983,-0.08830972503114307,-0.1202777751461649,-0.018655223135215046,-0.48881531561115105,0.9291958052787596,0.9264687042919527,0.8022073582747152,0.9922942909443158,0.9954839310511033,1.0,0.6416559362361267,0.6438851508545022,0.645170706180593,0.6993009820888383,0.6981008914541721,0.6553440417424957,0.11624487577321593,-0.8267641884335478,-0.17108330339355407,0.14080501144835314
LRtempL,-0.0360373458876057,-0.07214675825127054,0.05595203589660865,-0.0027805274334361703,-0.47610765131112304,-0.4485970671695035,0.1887441814816582,0.10089801537525939,0.3581139869755963,0.3826117398288054,-0.26145790477286907,0.05709979202570284,0.6106385039894259,0.6106707702332835,0.4257119522432724,0.6166420052379229,0.6216906516277633,0.6416559362361267,1.0,0.9980790946159493,0.9906118628575459,0.9789256158918204,0.9785893747656628,0.9777489790656266,0.0881559129532798,-0.42410995120018347,-0.10349481298287692,-0.19339627222705208
LRtempM,-0.035889992491831835,-0.07128882509646813,0.059569567079987576,0.0011429484275509538,-0.4737844913168777,-0.44670145050859195,0.19199050354836694,0.10531699218572328,0.3559547279996626,0.3809800000309333,-0.2629473322339963,0.05316002277616196,0.6139596576328027,0.6144122863300286,0.4241900091074199,0.6199032874665459,0.6246626152743274,0.6438851508545022,0.9980790946159493,1.0,0.9909968173238951,0.9807216559415847,0.9804768424962238,0.9767011687813807,0.08380466057492644,-0.4235108144145065,-0.10589728436469258,-0.19489765536156492
LRtempR,-0.030632097726520643,-0.06918613714866009,0.043761729804369695,-0.011450905858028831,-0.5250480857500645,-0.5014951260512582,0.2607378836765807,0.15020675782331558,0.4088943424968718,0.43692486452446283,-0.32049156221877645,0.05003279216955688,0.5774691703770037,0.5778051748407341,0.3907141379840679,0.617492529277539,0.6219134624305745,0.645170706180593,0.9906118628575459,0.9909968173238951,1.0,0.9856800158204597,0.9852822173090295,0.9813176927943128,0.0636692014974481,-0.37761978084917786,-0.06582893252218254,-0.2757233756261895
RRtempL,-0.03636074229375982,-0.06577845213979078,0.04260012155164257,-0.01751060878666968,-0.4956100103835295,-0.4597425288565658,0.26454460294975973,0.2095710477460964,0.3800674308079966,0.39619003497310257,-0.27339611266554614,-0.029631880472696694,0.6477420469439447,0.6509018971539311,0.43916982610268873,0.6827024027070407,0.6836625931311587,0.6993009820888383,0.9789256158918204,0.9807216559415847,0.9856800158204597,1.0,0.9994159371882471,0.9689707931304695,0.07138270153298533,-0.41825261309535267,-0.14227236022160308,-0.25583495303321513
RRtempM,-0.03502910426688557,-0.06485313541642396,0.04284979098398301,-0.016849743526135597,-0.4946658106212909,-0.45950949151537857,0.2644390929035602,0.2092343575233207,0.3795655931912411,0.39621460120524765,-0.27376452665584705,-0.02922584388993566,0.6474396998291372,0.6506504999968071,0.43724927862177615,0.6819273053943322,0.6827769140655248,0.6981008914541721,0.9785893747656628,0.9804768424962238,0.9852822173090295,0.9994159371882471,1.0,0.9682465324769512,0.0699103397067362,-0.4167314851674528,-0.1435989132069646,-0.25595187042159984
RRtempR,-0.026572725481516374,-0.05871915616694521,0.03501507541065503,-0.016244191022429317,-0.5273093689282896,-0.5209837187068568,0.19959850233200851,0.08031312219858726,0.4011621579801839,0.45112461527940106,-0.2965391082779624,0.11052538363559541,0.569088119259418,0.5696496556261148,0.4036616916114539,0.6125163318479329,0.6220450708414801,0.6553440417424957,0.9777489790656266,0.9767011687813807,0.9813176927943128,0.9689707931304695,0.9682465324769512,1.0,0.08124241210011303,-0.37852986389386184,-0.056403994487752906,-0.24427734852303143
LapLastLapTime,0.03199157580958781,0.012219100805568667,0.030712200563871722,0.0375479098425917,0.11751420937763674,0.11009565163038833,-0.044375556992806056,0.002742657663471547,-0.14574658057742026,-0.12695566287539106,0.030120807972658977,-0.055862083415324476,0.14872818064340793,0.14709602504515626,0.2053918207823054,0.11442468872009337,0.11746163986204279,0.11624487577321593,0.0881559129532798,0.08380466057492644,0.0636692014974481,0.07138270153298533,0.0699103397067362,0.08124241210011303,1.0,-0.13091347316939148,-0.06135655706643097,0.14259497683811329
